,user_id,country,sex,height,weight,age,years_cl,date_first,date_last,grades_count,grades_first,grades_last,grades_max,grades_mean,year_first,year_last
5801,28761,BEL,0,180,68,27.0,11,2009-09-12 22:00:00,2009-09-12 22:00:00,16,51,49,55,46.75,2009,2009
5802,28772,USA,0,175,73,32.0,11,2008-12-01 23:00:00,2009-08-29 22:00:00,16,44,36,44,36.25,2008,2009
5803,28775,POL,0,180,73,47.0,19,2009-09-18 22:00:00,2017-06-17 22:00:00,673,50,49,57,49.62258543833581,2009,2017
5804,28778,SWE,0,182,73,53.0,9,2010-10-15 22:00:00,2014-10-23 22:00:00,49,33,46,46,39.224489795918366,2010,2014
5805,28780,DEU,0,183,73,26.0,10,2009-02-17 23:00:00,2010-06-16 22:00:00,20,55,54,59,47.7,2009,2010
5806,28781,BEL,0,178,58,31.0,10,2010-08-19 22:00:00,2010-08-19 22:00:00,3,49,62,62,57.66666666666666,2010,2010
5807,28784,other,0,178,58,25.0,10,2009-09-19 22:00:00,2009-06-08 22:00:00,17,42,49,49,41.23529411764706,2009,2009
5808,28785,ESP,0,175,68,39.0,17,2009-09-17 22:00:00,2017-06-16 22:00:00,330,59,61,66,54.48181818181818,2009,2017
5809,28786,DEU,0,178,78,37.0,26,2009-09-19 22:00:00,2012-11-07 23:00:00,215,55,55,66,56.04651162790697,2009,2012
5810,28789,DEU,0,183,78,35.0,18,2009-09-18 22:00:00,2017-07-08 22:00:00,149,55,49,59,47.006711409395976,2009,2017
5811,28791,AUT,0,176,63,26.0,9,2009-06-08 22:00:00,2009-06-08 22:00:00,1,29,29,29,29.0,2009,2009
5812,28797,ESP,0,178,68,30.0,12,2009-07-26 22:00:00,2011-09-12 22:00:00,8,46,42,49,45.125,2009,2011
5813,28800,PRT,0,150,43,13.0,13,2009-10-17 22:00:00,2017-01-07 23:00:00,100,31,51,51,36.1,2009,2017
5814,28807,ITA,1,167,53,32.0,9,2009-10-03 22:00:00,2009-10-03 22:00:00,2,33,31,33,32.0,2009,2009
5815,28813,ITA,0,175,68,49.0,27,2009-07-07 22:00:00,2009-08-30 22:00:00,2,51,53,53,52.0,2009,2009
5816,28816,ESP,0,176,63,42.0,13,2009-08-26 22:00:00,2012-11-23 23:00:00,115,53,55,62,50.8,2009,2012
5817,28818,USA,1,170,58,30.0,11,2009-11-11 23:00:00,2016-09-16 22:00:00,248,51,51,59,48.28629032258065,2009,2016
5818,28819,USA,0,180,83,42.0,9,2009-05-15 22:00:00,2009-11-21 23:00:00,32,33,40,48,38.90625,2009,2009
5819,28825,DEU,1,155,48,36.0,12,2009-08-19 22:00:00,2017-04-10 22:00:00,127,36,42,51,40.01574803149607,2009,2017
5820,28829,PRT,0,150,40,18.0,9,2009-09-22 22:00:00,2009-09-15 22:00:00,7,38,33,38,34.857142857142854,2009,2009
5821,28831,other,0,169,68,32.0,8,2009-09-11 22:00:00,2010-09-18 22:00:00,3,38,38,38,38.0,2009,2010
5822,28837,DEU,1,169,53,39.0,13,2009-08-28 22:00:00,2013-01-02 23:00:00,71,40,40,46,36.50704225352113,2009,2013
5823,28841,ESP,0,174,58,25.0,9,2009-07-22 22:00:00,2009-10-09 22:00:00,10,42,53,53,43.7,2009,2009
5824,28847,DEU,0,182,73,26.0,10,2009-04-11 22:00:00,2009-04-11 22:00:00,4,36,36,36,33.0,2009,2009
5825,28848,ITA,0,185,73,36.0,13,2009-07-25 22:00:00,2011-04-28 22:00:00,77,55,55,64,54.96103896103896,2009,2011
5826,28852,ESP,1,153,48,43.0,19,2009-10-03 22:00:00,2012-04-10 22:00:00,66,49,49,53,45.54545454545455,2009,2012
5827,28854,ITA,0,174,68,33.0,10,2009-03-21 23:00:00,2016-06-28 22:00:00,286,39,49,53,41.87762237762238,2009,2016
5828,28855,ESP,0,170,63,39.0,17,2009-08-22 22:00:00,2009-09-21 22:00:00,8,33,40,40,33.75,2009,2009
5829,28861,ESP,0,174,73,37.0,9,2009-08-25 22:00:00,2009-08-25 22:00:00,1,38,38,38,38.0,2009,2009
5830,28863,ESP,0,170,63,36.0,10,2009-08-14 22:00:00,2009-12-11 23:00:00,97,31,43,43,35.8041237113402,2009,2009
5831,28864,CAN,1,163,53,41.0,11,2009-04-03 22:00:00,2007-09-01 22:00:00,4,46,42,51,45.75,2009,2007
5832,28866,other,0,180,73,37.0,22,2009-09-29 22:00:00,2010-02-19 23:00:00,61,44,51,62,50.377049180327866,2009,2010
5833,28869,FIN,0,176,83,48.0,8,2009-10-02 22:00:00,2010-08-10 22:00:00,4,29,36,36,32.75,2009,2010
5834,28874,ESP,1,159,48,50.0,9,2009-08-26 22:00:00,2010-08-01 22:00:00,9,36,42,44,38.44444444444444,2009,2010
5835,28879,AUS,0,175,68,26.0,10,2009-09-26 22:00:00,2009-09-26 22:00:00,22,28,44,44,35.59090909090909,2009,2009
5836,28886,other,0,185,93,41.0,10,2009-02-11 23:00:00,2010-05-08 22:00:00,8,33,38,38,35.5,2009,2010
5837,28900,ESP,0,170,73,46.0,11,2009-09-24 22:00:00,2009-09-24 22:00:00,1,46,46,46,46.0,2009,2009
5838,28904,ESP,0,172,63,35.0,9,2009-09-18 22:00:00,2017-08-06 22:00:00,309,38,49,59,42.04854368932039,2009,2017
5839,28906,ESP,1,168,53,35.0,9,2009-09-20 22:00:00,2017-08-21 22:00:00,834,42,44,55,43.02877697841727,2009,2017
5840,28912,POL,0,178,68,34.0,11,2009-10-02 22:00:00,2012-08-31 22:00:00,53,36,44,49,38.9811320754717,2009,2012
5841,28913,DNK,0,185,68,22.0,10,2009-09-24 22:00:00,2017-08-30 22:00:00,199,49,42,70,54.02512562814071,2009,2017
5842,28914,USA,0,185,78,49.0,28,1993-08-28 22:00:00,1993-07-31 22:00:00,2,59,62,62,60.5,1993,1993
5843,28918,SWE,0,175,68,38.0,8,2009-08-29 22:00:00,2009-08-29 22:00:00,1,33,33,33,33.0,2009,2009
5844,28923,FRA,0,160,53,43.0,15,2006-05-22 22:00:00,2017-05-27 22:00:00,49,51,55,55,48.93877551020408,2006,2017
5845,28924,USA,0,178,83,41.0,21,2009-09-21 22:00:00,2009-09-14 22:00:00,12,40,40,46,40.583333333333336,2009,2009
5847,28935,NLD,0,175,63,58.0,29,2009-07-25 22:00:00,2014-03-30 22:00:00,123,49,29,55,38.82113821138211,2009,2014
5848,28936,FRA,0,187,78,27.0,17,2009-09-22 22:00:00,2016-06-23 22:00:00,122,57,53,66,54.29508196721312,2009,2016
5849,28963,ESP,0,186,83,37.0,11,2009-02-13 23:00:00,2010-01-29 23:00:00,12,39,38,40,38.16666666666666,2009,2010
5850,28974,DEU,0,181,68,31.0,12,2010-07-03 22:00:00,2010-07-03 22:00:00,1,64,64,64,64.0,2010,2010
5851,28975,USA,0,183,73,29.0,11,2009-09-01 22:00:00,2009-09-01 22:00:00,2,36,44,44,40.0,2009,2009
5852,28979,CAN,0,186,68,35.0,11,2008-09-04 22:00:00,2008-09-04 22:00:00,1,46,46,46,46.0,2008,2008
5853,28980,BRA,0,168,58,30.0,11,2010-11-12 23:00:00,2010-11-12 23:00:00,1,33,33,33,33.0,2010,2010
5854,28981,SVN,0,181,68,25.0,17,2009-10-08 22:00:00,2012-05-14 22:00:00,24,29,64,64,44.0,2009,2012
5855,28983,ESP,0,170,68,34.0,12,2009-09-29 22:00:00,2017-09-11 22:00:00,345,59,62,70,58.20289855072464,2009,2017
5856,28988,FRA,0,174,73,28.0,16,2011-03-05 23:00:00,2011-03-19 23:00:00,2,48,52,52,50.0,2011,2011
5857,28989,POL,0,180,68,28.0,12,2009-10-02 22:00:00,2017-08-26 22:00:00,249,56,59,66,55.29718875502008,2009,2017
5858,28990,POL,1,153,48,29.0,11,2009-07-15 22:00:00,2009-11-20 23:00:00,10,31,30,36,33.3,2009,2009
5859,29001,ZAF,0,185,73,22.0,8,2009-10-03 22:00:00,2011-02-11 23:00:00,51,29,38,38,31.176470588235293,2009,2011
5860,29003,FRA,0,179,58,30.0,24,2009-06-09 22:00:00,2016-11-12 23:00:00,175,48,40,57,40.31428571428572,2009,2016
5861,29007,RUS,0,187,73,32.0,14,2009-09-09 22:00:00,2010-08-12 22:00:00,5,48,49,53,48.8,2009,2010
5862,29009,ESP,0,180,78,36.0,8,2009-09-27 22:00:00,2013-12-16 23:00:00,75,33,38,51,36.29333333333334,2009,2013
5863,29011,FRA,0,175,48,24.0,13,2009-09-25 22:00:00,2009-09-24 22:00:00,3,57,62,64,61.0,2009,2009
5864,29012,BRA,0,176,73,31.0,15,2011-01-06 23:00:00,2011-08-19 22:00:00,11,51,44,51,46.72727272727273,2011,2011
5865,29015,SVN,0,176,68,36.0,16,2009-09-25 22:00:00,2013-05-18 22:00:00,39,55,59,66,53.46153846153846,2009,2013
5866,29029,ESP,0,180,73,31.0,10,2009-10-04 22:00:00,2010-04-06 22:00:00,67,49,36,49,37.83582089552239,2009,2010
5867,29031,ITA,1,160,48,44.0,16,2009-06-05 22:00:00,2017-08-28 22:00:00,303,62,55,66,54.0990099009901,2009,2017
